host_id,name,price,host_is_superhost,neighbourhood,host_name,beds,review_scores_rating
2118525,Condo in Vancouver · 2 bedrooms · 2 beds · 2 baths,$250.00,f,"Vancouver, British Columbia, Canada",Slavica,2.0,5.0
7560143,Rental unit in Vancouver · ★4.77 · 2 bedrooms · 4 beds · 2 baths,$450.00,f,"Vancouver, British Columbia, Canada",Sandy,4.0,4.77
51695,Home in Vancouver · ★4.72 · 1 bedroom · 1 bed · 1 private bath,$81.00,f,"Vancouver, British Columbia, Canada",Natasha & Paolo,1.0,4.72
600607,Rental unit in Vancouver · ★4.50 · Studio · 1 bed · 1 bath,$70.00,f,"Vancouver, British Columbia, Canada",Martello,1.0,4.5
8556789,Guesthouse in Vancouver · ★4.88 · Studio · 2 beds · 1 bath,$183.00,t,"Vancouver, British Columbia, Canada",Lana,2.0,4.88
8633501,Home in Vancouver · ★4.66 · 2 bedrooms · 2 beds · 1 bath,$110.00,f,"Vancouver, British Columbia, Canada",Robin,2.0,4.66
8660533,Guest suite in Vancouver · ★4.82 · 1 bedroom · 1 bed · 1 bath,$80.00,t,"Vancouver, British Columbia, Canada",Tracy And Richard,1.0,4.82
8784861,Loft in Vancouver · ★5.0 · 2 bedrooms · 2 beds · 2 baths,$250.00,f,"Vancouver, British Columbia, Canada",Dianna,2.0,5.0
8993938,Rental unit in Vancouver · ★4.33 · 1 bedroom · 1 bed · 1.5 baths,$130.00,f,"Vancouver, British Columbia, Canada",James And Jewel,1.0,4.33
9057463,Rental unit in Vancouver · ★4.92 · 2 bedrooms · 2 beds · 1 bath,$150.00,t,"Vancouver, British Columbia, Canada",Mary,2.0,4.92
9131888,Condo in Vancouver · ★4.85 · 1 bedroom · 3 beds · 1 bath,$199.00,t,"Vancouver, British Columbia, Canada",Cindy,3.0,4.85
9041076,Guest suite in Vancouver · ★4.90 · 1 bedroom · 1 bed · 1 bath,$95.00,t,"Vancouver, British Columbia, Canada",Lynn,1.0,4.9
7281178,Townhouse in Vancouver · ★4.94 · 3 bedrooms · 3 beds · 2.5 baths,$395.00,t,"Vancouver, British Columbia, Canada",Jodi,3.0,4.94
600607,Rental unit in Vancouver · ★4.0 · 1 bedroom · 1 bed · 1 bath,$83.00,f,"Vancouver, British Columbia, Canada",Martello,1.0,4.0
10285482,Home in Vancouver · ★4.62 · 2 bedrooms · 4 beds · 1 private bath,$110.00,t,"Vancouver, British Columbia, Canada",Allan And Ellen,4.0,4.62
10317553,Condo in Vancouver · 1 bedroom · 1 bed · 1 bath,$130.00,f,"Vancouver, British Columbia, Canada",Rita,1.0,5.0
9372276,Home in Vancouver · ★4.91 · 4 bedrooms · 4 beds · 3 baths,$594.00,f,"Vancouver, British Columbia, Canada",Rica,4.0,4.91
1728615,Rental unit in Vancouver · ★4.96 · 2 bedrooms · 2 beds · 1 bath,$125.00,t,"Vancouver, British Columbia, Canada",Francois,2.0,4.96
9582918,Rental unit in Vancouver · ★4.90 · 1 bedroom · 2 beds · 1 bath,$135.00,t,"Vancouver, British Columbia, Canada",Sandy,2.0,4.9
7940236,Home in Vancouver · ★4.85 · 1 bedroom · 1 bed · 1.5 baths,$85.00,f,"Vancouver, British Columbia, Canada",Renee,1.0,4.85
1172047,Condo in Vancouver · ★4.74 · 1 bedroom · 1 bed · 1 bath,$125.00,t,"Vancouver, British Columbia, Canada",Trevor,1.0,4.74
7940236,Home in Vancouver · ★4.77 · 1 bedroom · 1 bed · 1.5 baths,$75.00,f,"Vancouver, British Columbia, Canada",Renee,1.0,4.77
